Latitude,Longitude,CrimeCount
41.735822635,-87.653398147,17
41.73583962,-87.653485901,17
41.735857166,-87.624152861,28
41.735880707,-87.715177613,6
41.735881351,-87.662923569,7
41.735924437,-87.661373306,6
41.735931109,-87.653642482,9
41.735993165,-87.629310087,9
41.735994703,-87.649098615,6
41.736005209,-87.645343039,13
41.736042231,-87.653406822,16
41.736084484,-87.629433662,12
41.736089011,-87.650189448,8
41.73609565,-87.604808666,6
41.736126864,-87.629184056,17
41.73614018,-87.62911796,9
41.736146144,-87.626959873,154
41.736148121,-87.629070243,52
41.736152605,-87.585059754,6
41.736153434,-87.627252903,8
41.736159261,-87.62775479,71
41.736162409,-87.625589406,57
41.736164041,-87.662927957,17
41.736169842,-87.625014096,26
41.736175893,-87.629571891,77
41.736197646,-87.552644958,10
41.736207589,-87.629370032,342
41.736209387,-87.624306533,45
41.736210322,-87.624013412,22
41.736227704,-87.62862238,12
41.736252971,-87.622921107,12
41.736255058,-87.628160433,15
41.73625535,-87.62820806,7
41.736259984,-87.628068782,75
41.736263109,-87.627237046,6
41.736264617,-87.627929503,10
41.73626516,-87.585065775,7
41.736269116,-87.627768243,45
41.736272399,-87.64413477,9
41.736277091,-87.585212192,15
41.736277427,-87.62510451,19
41.736345248,-87.623198545,11
41.736345716,-87.585636406,10
41.736352483,-87.554028029,6
41.736369392,-87.625777655,8
41.736372941,-87.627246835,19
41.736377238,-87.627499596,166
41.736422269,-87.604815966,7
41.736454169,-87.614675134,17
41.736458248,-87.585638764,7
41.736481388,-87.545965922,16
