Block,CrimeCount
000XX N LOCKWOOD AVE,2
000XX N LONG AVE,3
000XX N LOREL AVE,4
000XX N LOTUS AVE,3
000XX N MASON AVE,1
000XX N MAYFIELD AVE,4
000XX N MENARD AVE,2
000XX N MICHIGAN AVE,2
000XX N PARKSIDE AVE,1
000XX N PINE AVE,1
000XX N PULASKI RD,2
000XX N STATE ST,1
000XX N WABASH AVE,2
000XX N WESTERN AVE,3
000XX S ALBANY AVE,2
000XX S CAMPBELL AVE,1
000XX S CENTRAL AVE,1
000XX S CICERO AVE,2
000XX S HAMLIN BLVD,2
000XX S KARLOV AVE,1
000XX S KEELER AVE,1
000XX S KILBOURN AVE,1
000XX S KOSTNER AVE,3
000XX S LAVERGNE AVE,1
000XX S LEAMINGTON AVE,3
000XX S LOCKWOOD AVE,1
000XX S MASON AVE,4
000XX S MAYFIELD AVE,1
000XX S MICHIGAN AVE,1
000XX S PARKSIDE AVE,2
000XX S PULASKI RD,3
000XX S SEELEY AVE,1
000XX S SPRINGFIELD AVE,3
000XX S WHIPPLE ST,4
000XX W 103RD ST,2
000XX W 104TH PL,3
000XX W 105TH ST,3
000XX W 107TH ST,3
000XX W 108TH PL,2
000XX W 111TH PL,1
000XX W 111TH ST,2
000XX W 112TH ST,1
000XX W 113TH PL,1
000XX W 114TH ST,1
000XX W 118TH ST,1
000XX W 119TH ST,1
000XX W 120 STREET,1
000XX W 122ND ST,1
000XX W 15TH ST,2
000XX W 43RD ST,1
000XX W 59 ST,1
000XX W 63RD ST,1
000XX W 69TH ST,3
000XX W 71ST ST,3
000XX W 76TH ST,1
000XX W 78TH PL,1
000XX W 79TH ST,5
000XX W 87TH ST,1
000XX W 91ST ST,1
000XX W 95TH ST,2
000XX W 97TH ST,1
000XX W CERMAK RD,2
000XX W CHICAGO AVE,2
000XX W GARFIELD BLVD,2
000XX W PERSHING RD,1
000XX W ROOT ST,1
000XX W VAN BUREN ST,1
001XX E 100 ST,2
001XX E 100TH ST,1
001XX E 102 ST,3
001XX E 103 PL,7
001XX E 103 ST,11
001XX E 103RD ST,6
001XX E 104 PL,10
001XX E 104 ST,2
001XX E 104TH PL,6
001XX E 104TH ST,2
001XX E 105 ST,6
001XX E 105TH ST,3
001XX E 107 ST,14
001XX E 107TH ST,15
001XX E 108 ST,2
001XX E 108TH ST,1
001XX E 109 ST,2
001XX E 110 ST,8
001XX E 110TH ST,14
001XX E 111 ST,10
001XX E 111TH ST,12
001XX E 112 ST,7
001XX E 112TH ST,1
001XX E 113 ST,21
001XX E 113TH ST,9
001XX E 114 PL,11
001XX E 114TH PL,17
001XX E 115 ST,19
001XX E 115TH ST,19
001XX E 116 ST,7
001XX E 116TH ST,6
001XX E 117 PL,6
001XX E 117 ST,6
001XX E 117TH PL,3
001XX E 117TH ST,11
001XX E 118 PL,12
001XX E 118 ST,7
001XX E 118TH PL,6
001XX E 118TH ST,4
001XX E 119 PL,18
001XX E 119 ST,22
001XX E 119TH PL,7
001XX E 119TH ST,9
001XX E 120 PL,2
001XX E 120 ST,9
001XX E 120TH PL,14
001XX E 120TH ST,10
001XX E 122 PL,4
001XX E 122 ST,1
001XX E 122ND PL,2
001XX E 122ND ST,3
001XX E 123 ST,3
001XX E 123RD ST,2
001XX E 124 ST,11
001XX E 124TH ST,4
001XX E 126 PL,1
001XX E 127 ST,6
001XX E 127TH ST,3
001XX E 13 ST,2
001XX E 130TH ST,1
001XX E 133 ST,9
001XX E 133RD ST,9
001XX E 133rd st,1
001XX E 134 ST,3
001XX E 13TH ST,7
001XX E 14TH ST,2
001XX E 16 ST,1
001XX E 18 ST,1
001XX E 18TH ST,3
001XX E 21 ST,2
001XX E 21ST ST,6
001XX E 23 ST,1
001XX E 23RD ST,3
001XX E 24 ST,4
001XX E 24TH ST,4
001XX E 26 ST,2
001XX E 26TH ST,2
